job,marital,education,default,balance,housing,loan,campaign,pdays,previous,y,poutcome
unemployed,married,primary,no,1787,no,no,1,-1,0,no,unknown
services,married,secondary,no,4789,yes,yes,1,339,4,no,failure
management,single,tertiary,no,1350,yes,no,1,330,1,no,failure
management,married,tertiary,no,1476,yes,yes,4,-1,0,no,unknown
blue-collar,married,secondary,no,0,yes,no,1,-1,0,no,unknown
management,single,tertiary,no,747,no,no,2,176,3,no,failure
self-employed,married,tertiary,no,307,yes,no,1,330,2,no,other
technician,married,secondary,no,147,yes,no,2,-1,0,no,unknown
entrepreneur,married,tertiary,no,221,yes,no,2,-1,0,no,unknown
services,married,primary,no,-88,yes,yes,1,147,2,no,failure
services,married,secondary,no,9374,yes,no,1,-1,0,no,unknown
admin.,married,secondary,no,264,yes,no,2,-1,0,no,unknown
technician,married,tertiary,no,1109,no,no,2,-1,0,no,unknown
student,single,secondary,no,502,no,no,1,-1,0,yes,unknown
blue-collar,married,secondary,no,360,yes,yes,1,241,1,no,failure
management,married,tertiary,no,194,no,yes,2,-1,0,no,unknown
technician,married,secondary,no,4073,no,no,5,-1,0,no,unknown
admin.,single,tertiary,no,2317,yes,no,1,152,2,no,failure
blue-collar,single,primary,no,-221,yes,no,1,-1,0,no,unknown
services,married,secondary,no,132,no,no,1,152,1,no,other
management,divorced,unknown,no,0,yes,no,2,-1,0,no,unknown
management,divorced,tertiary,no,16,no,no,3,-1,0,no,unknown
services,single,secondary,no,106,no,no,2,-1,0,no,unknown
entrepreneur,married,secondary,no,93,no,no,2,-1,0,no,unknown
housemaid,married,tertiary,no,543,no,no,3,-1,0,no,unknown
management,married,tertiary,no,5883,no,no,2,-1,0,no,unknown
blue-collar,married,primary,no,627,yes,no,1,-1,0,no,unknown
retired,married,unknown,no,696,no,no,1,105,2,no,failure
self-employed,married,secondary,no,784,no,yes,2,-1,0,no,unknown
admin.,married,secondary,no,105,no,yes,2,-1,0,no,unknown
retired,divorced,secondary,no,4189,no,no,2,-1,0,yes,unknown
technician,married,secondary,no,171,no,no,3,-1,0,no,unknown
management,married,secondary,no,42,no,no,1,-1,0,no,unknown
management,single,tertiary,no,2536,yes,no,6,-1,0,yes,unknown
technician,married,tertiary,no,1235,no,no,3,-1,0,yes,unknown
admin.,divorced,secondary,no,1811,yes,no,1,-1,0,no,unknown
retired,divorced,primary,no,229,no,no,1,-1,0,yes,unknown
blue-collar,married,secondary,no,2089,yes,no,1,-1,0,yes,unknown
