job,marital,education,default,balance,housing,loan,campaign,pdays,previous,y,poutcome
services,married,secondary,no,4789,yes,yes,1,339,4,no,failure
management,single,tertiary,no,1350,yes,no,1,330,1,no,failure
management,single,tertiary,no,747,no,no,2,176,3,no,failure
services,married,primary,no,-88,yes,yes,1,147,2,no,failure
blue-collar,married,secondary,no,360,yes,yes,1,241,1,no,failure
admin.,single,tertiary,no,2317,yes,no,1,152,2,no,failure
retired,married,unknown,no,696,no,no,1,105,2,no,failure
management,married,secondary,no,3935,yes,no,1,342,2,yes,failure
management,single,tertiary,no,11971,yes,no,2,101,3,no,failure
blue-collar,divorced,secondary,no,203,yes,no,1,170,5,no,failure
unemployed,married,secondary,no,219,yes,no,2,196,1,no,failure
services,married,secondary,no,657,no,no,2,460,2,yes,failure
admin.,single,tertiary,no,261,no,no,1,137,20,no,failure
management,single,tertiary,no,493,yes,no,1,367,7,no,failure
management,single,tertiary,no,574,yes,no,2,145,3,no,failure
blue-collar,single,secondary,no,22,no,no,2,207,1,no,failure
management,single,tertiary,yes,-55,yes,no,2,266,6,no,failure
blue-collar,single,secondary,no,228,no,no,1,288,3,no,failure
admin.,married,unknown,no,0,yes,no,1,168,2,no,failure
admin.,single,secondary,no,428,yes,yes,1,345,2,no,failure
technician,married,secondary,no,273,yes,no,3,183,3,no,failure
management,single,tertiary,no,80,no,no,2,146,2,yes,failure
admin.,married,secondary,no,176,yes,no,2,347,1,no,failure
admin.,married,tertiary,no,0,yes,no,2,119,1,no,failure
technician,married,secondary,no,23,yes,no,2,347,1,no,failure
technician,single,tertiary,no,2658,yes,no,2,141,3,yes,failure
management,divorced,tertiary,no,1315,yes,no,4,126,1,no,failure
technician,married,secondary,no,1599,yes,no,1,61,1,no,failure
services,single,secondary,no,-196,yes,no,1,271,1,no,failure
blue-collar,married,secondary,no,975,yes,no,2,351,2,no,failure
technician,single,secondary,no,33,yes,no,3,351,10,no,failure
technician,married,secondary,no,0,no,yes,2,172,5,no,failure
retired,married,primary,no,3401,yes,no,3,265,2,no,failure
technician,married,tertiary,no,883,no,no,1,78,2,no,failure
services,married,secondary,no,0,yes,no,1,28,3,no,failure
housemaid,married,tertiary,no,11219,no,no,2,79,1,no,failure
retired,divorced,primary,no,1840,no,no,2,188,5,no,failure
blue-collar,married,secondary,no,8545,yes,yes,7,167,1,no,failure
admin.,single,tertiary,no,760,yes,no,3,89,2,yes,failure
entrepreneur,married,secondary,no,2971,no,no,4,164,2,yes,failure
technician,married,secondary,no,6699,no,no,1,462,1,no,failure
management,single,tertiary,no,1410,yes,no,1,254,5,no,failure
management,married,tertiary,no,832,yes,yes,1,176,1,no,failure
blue-collar,single,secondary,no,219,yes,yes,2,347,1,no,failure
self-employed,married,tertiary,no,2303,yes,no,2,364,1,no,failure
management,married,tertiary,no,4,no,no,1,96,2,no,failure
management,married,tertiary,no,318,yes,no,2,356,4,no,failure
management,single,tertiary,no,8436,yes,no,1,149,2,no,failure
admin.,married,secondary,no,-396,yes,no,1,308,4,no,failure
services,single,secondary,no,0,yes,no,6,363,9,no,failure
management,married,tertiary,no,393,yes,no,3,275,4,yes,failure
blue-collar,married,secondary,no,0,yes,no,1,325,1,no,failure
services,married,secondary,no,1328,yes,no,2,341,4,no,failure
blue-collar,married,secondary,no,43,yes,no,2,358,2,no,failure
management,married,secondary,no,438,yes,no,3,303,1,no,failure
admin.,married,secondary,no,0,no,no,1,98,2,yes,failure
retired,divorced,tertiary,no,3810,yes,no,1,183,1,yes,failure
management,married,tertiary,no,502,yes,no,1,351,1,no,failure
management,single,tertiary,no,876,yes,no,4,327,2,no,failure
blue-collar,married,secondary,no,130,no,no,1,337,3,no,failure
management,divorced,tertiary,no,36,no,no,1,102,2,no,failure
housemaid,married,secondary,no,0,no,no,1,99,4,no,failure
technician,married,secondary,no,694,yes,no,4,196,5,no,failure
housemaid,married,secondary,no,7317,yes,no,1,370,1,no,failure
management,single,tertiary,no,12607,no,no,5,84,1,no,failure
blue-collar,married,secondary,no,121,yes,yes,1,212,2,no,failure
technician,married,secondary,no,195,yes,no,1,63,5,yes,failure
unemployed,divorced,primary,no,757,no,no,1,325,4,no,failure
admin.,divorced,secondary,no,738,yes,no,4,191,4,no,failure
services,married,primary,no,2567,yes,no,1,360,2,no,failure
retired,married,secondary,no,2747,no,no,1,80,1,no,failure
technician,married,secondary,no,2497,yes,no,1,176,1,no,failure
technician,married,secondary,no,56,yes,yes,1,247,1,no,failure
management,married,tertiary,no,1319,yes,no,1,150,1,no,failure
technician,single,tertiary,no,696,no,yes,1,176,8,no,failure
housemaid,married,primary,no,201,yes,no,2,382,1,no,failure
retired,divorced,unknown,no,-49,yes,no,1,261,2,no,failure
technician,married,tertiary,no,1161,yes,no,1,336,1,no,failure
management,single,tertiary,no,1509,no,no,1,58,3,no,failure
management,married,tertiary,no,2764,no,no,1,206,2,no,failure
technician,married,tertiary,no,8023,no,no,1,105,3,no,failure
management,divorced,tertiary,no,6269,yes,no,3,112,2,no,failure
management,married,primary,no,252,yes,yes,2,147,3,no,failure
housemaid,single,tertiary,no,23663,yes,no,2,146,2,no,failure
entrepreneur,single,tertiary,no,81,no,no,1,199,3,no,failure
technician,married,secondary,no,0,no,no,1,94,8,no,failure
management,married,primary,no,621,no,yes,1,208,1,no,failure
technician,married,secondary,no,310,yes,no,1,253,1,no,failure
entrepreneur,married,unknown,no,73,yes,no,1,135,1,no,failure
services,married,secondary,no,1550,yes,no,2,149,8,no,failure
entrepreneur,married,tertiary,no,0,no,no,1,168,4,no,failure
student,single,secondary,no,1790,no,no,1,322,3,no,failure
blue-collar,married,secondary,no,498,yes,no,2,298,4,no,failure
blue-collar,married,primary,no,1092,no,yes,1,172,8,no,failure
technician,single,secondary,no,1855,yes,no,1,273,1,no,failure
services,married,secondary,no,0,yes,no,2,281,8,no,failure
management,divorced,secondary,no,414,no,no,2,162,4,no,failure
management,married,tertiary,no,1944,yes,no,3,323,2,no,failure
